nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas
"2,883 Departamentos preventa en México - Inmuebles24",,,,,Residencial,Casas,,,,Preventa,https://www.inmuebles24.com/departamentos-q-preventa.html,Inmuebles24,2026-03-12,"Detectado vía búsqueda web: Preciosos departamentosnuevosen venta en lago esmeralda, vistas inigualables. Sky View Esmeralda, es"
"582 Departamentos preventa en CDMX, Ciudad de México",,CDMX,CDMX,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/departamentos-en-ciudad-de-mexico-q-preventa.html,Inmuebles24,2026-03-12,Detectado vía búsqueda web: No pierdas la oportunidad de ser parte de estapreventaexclusiva y asegura tu lugar en estedesarrollo
"78 Departamentos preventa en Cancún, Quintana Roo - Inmueble",,Cancún,Quintana Roo,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/departamentos-en-cancun-q-preventa.html,Inmuebles24,2026-03-12,"Detectado vía búsqueda web: Eldesarrollocuenta con dos torres de 20 niveles, un centro de bienestar, zona deportiva y una ubicac"
"19 Casas preventa en CDMX, Ciudad de México - Inmuebles24",,CDMX,CDMX,,Residencial,Casas,,,,Preventa,https://www.inmuebles24.com/casas-en-ciudad-de-mexico-q-preventa.html,Inmuebles24,2026-03-12,"Detectado vía búsqueda web: Se venden casas nuevas dentro de undesarrolloexclusivo en la zona. Cuentan con sala, comedor, cocina"
Desarrollos inmobiliarios en venta - Propiedades e inmuebles,,CDMX,CDMX,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/desarrollos-en-ciudad-de-mexico-etapa-pre-venta.html,Inmuebles24,2026-03-12,Detectado vía búsqueda web: Descubre estenuevodesarrollode Departamentos enpreventaen la colonia Escandón. Excelente ubicación y
52 Desarrollos inmobiliarios en venta - Departamentos en Ciu,,,,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/desarrollos-o-departamentos-en-ciudad-de-mexico.html,Inmuebles24,2026-03-12,Detectado vía búsqueda web: No pierdas la oportunidad de ser parte de estapreventaexclusiva y asegura tu lugar en estedesarrollo
Desarrollos inmobiliarios en venta - Departamentos en Ciudad,,CDMX,CDMX,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/desarrollos-o-departamentos-en-ciudad-de-mexico-etapa-pre-venta.html,Inmuebles24,2026-03-12,Detectado vía búsqueda web: Descubre estenuevodesarrollode Departamentos enpreventaen la colonia Escandón. Excelente ubicación y
Desarrollos inmobiliarios en Venta | Lamudi,,San Miguel de Allende,Guanajuato,,Residencial,Casas,,,,Preventa,https://www.lamudi.com.mx/newdevelopments/search/for-sale/,Lamudi,2026-03-12,"Detectado vía búsqueda web: A solo 20 minutos del centro de San Miguel de Allende, estedesarrolloofrece terrenos residenciales e"
Desarrollos inmobiliarios en Venta en Ciudad de México (CDMX,,CDMX,CDMX,,Residencial,Departamentos,,,,Preventa,https://www.lamudi.com.mx/newdevelopments/search/distrito-federal/departamento/for-sale/,Lamudi,2026-03-12,Detectado vía búsqueda web: Tenemos 25desarrollosinmobiliarios en Venta en Ciudad de México (CDMX) con amenidades. Descubre la m
Jade,,,,,Residencial,Casas,,,,Preventa,https://www.lamudi.com.mx/detalle/41032-73-ce2c6fa48d87-736d-1976b21-afa4-7381,Lamudi,2026-03-12,"Detectado vía búsqueda web: Descubre Residencial Jade, unnuevodesarrolloenPREVENTA, ubicado a solo minutos de Av. Aztecas y Eje "
