nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas
Joshua Condos,Grupo AsielGuillermo Franco,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,5,"Dec, 2020",Preventa,https://theredsearch.com/listings/?codigo=CU155D020985,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1R_C7bNTHc66tyiqeUruMeKaDYpL4S3oT
Joyn villas,Aliada Real EstateJonathan Espinosa,Tulum,Quintana Roo,Country ClubAkumal,Residencial,Departamentos,,32,,Preventa,https://theredsearch.com/listings/?codigo=CU155D055019,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1wb8-4Ih8rATjRJWYT9SUg3hBqs7F-DxZ
Julia by Dk,DK del KaribeAldo Vazquez,Tulum,Quintana Roo,Region 8,Residencial,Departamentos,,23,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D048346,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1aU1VM7OExM835SGJWgdWWyEF5ZrtTruO
Junglar Tulum,Grupo EmeritaAndres Hernandez,Tulum,Quintana Roo,Zona Arqueológica,Residencial,Departamentos,,4,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D053999,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1RMV0-LvwoyhOlsFv6GJZ_m4ekpZy4_n7
Jungle park residences,JUNGLE PARK RESIDENCES TULUMJoseantonio Deharo,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,17,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D035528,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1tqbruDnrr-bNimc5PtgPc5HM0yXBdxwj
Kabax,Colorado Investment  GroupIgnacio  Colorado,Playa del Carmen,Quintana Roo,Center,Residencial,Departamentos,,4,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D032017,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1ZJn5kmsFDB04qgBUJ46i_Cz_CabiS4w6
kachava Lux private residences and spa,Remax Signature by REMAX CollectionMiguel Mata,Tulum,Quintana Roo,Zona Arqueológica,Residencial,Departamentos,,4,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D048131,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1BVuV7IDCCIm9YOx_wN2tgA6Di-PDqC7r
Kairos,NeoterreCarmen Cabral,Tulum,Quintana Roo,Holistika,Residencial,Departamentos,,6,"Jul, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D054571,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Jdgq-IUYizK-sMW7Wrjwm3_d-VnReltw
Kalani 25,Cielo Maya Properties.Pepe Yanez,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,11,"Aug, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D043792,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1XLZdWkbpFd8Bv2UhX_77b2QQd1Blicd-
Kalante Residencial,Grupo Foret,Mérida,Yucatán,Carretera Merida - ProgresoYucatan,Residencial,Departamentos,,24,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D037386,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1Dv0WjPzpcC1KAOO533e3wwOFhW2IIVdS
Kalea Condos,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,9,"Apr, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D041887,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1Y1fhoBm_OVipB7PM8uBYhNUXUhnDlhEZ
Kalma Tulum,Aztro Desarrollos TulumAlejandro Rodriguez Manzon,Tulum,Quintana Roo,South,Residencial,Departamentos,,4,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D028608,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/15rMfJjzGvXWdreeeITqbSzVtCvNkF0OG?usp=sharing
Kan Otoch,My Property Mexico,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,2,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D036984,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1TP4yhj0rDjob72KlB5fMG7Uxy53O5tpt
Kanbal (Arkaan),195 RE BY RAUL ALBERTICristina Leon,,,ChicxulubCosta Yucateca,Residencial,Departamentos,,19,,Preventa,https://theredsearch.com/listings/?codigo=CU155D053967,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1lwxxsMMcuUMzd_Tf08jX1QmaqisBZEx0
Kanta villas,T Group Real EstateRafael  Oropeza,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,4,"Apr, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D056022,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1b8G6YnoQ_WFtfcv5Xb1xthEJn0ZDjXHr
Karanda Tulum,Inmex capitalKarlayazmin Nunezchavez,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,43,"Nov, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D028607,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1L1ysfytNywLADM6fROdlHJ7Hpqk9HX-3
Kateen,West Pier DevelopmentsPeter Turezki,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,18,"Feb, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D032802,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1iIgT6Z_O_Gwj7MMlm1Y0sGvwUbQCOvU3?usp=sharing
Kavanna,Dado Desarrollos,,,ChicxulubCosta Yucateca,Residencial,Departamentos,,4,,Preventa,https://theredsearch.com/listings/?codigo=CU155D045362,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1fXAG4E2jv7dEmWKh-yu79p9v5f7p6yA0
Kay,Remax Signature by REMAX CollectionMiguel Mata,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,5,"Sep, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D038200,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1h3I_nL5vHQ1p6SNsJ_R8FSay1VjZTj-H
Kaybe - lotes unifamiliares,Grupo EmeritaAndres Hernandez,Tulum,Quintana Roo,Zona Arqueológica,Residencial,Departamentos,,13,"Sep, 2021",Preventa,https://theredsearch.com/listings/?codigo=CU155D021359,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1usBvxh8WZS-SQCH9QI3h47G9gaSJogbd
Kenatta Luxury Villas,IDN ConstructoresValentina Ros,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,2,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D040874,TheRedSearch,2026-03-13,Info: https://www.dropbox.com/sh/j0xofc5fnz8ri9k/AABW_-oq83MpW9hk5DlPPfTUa?dl=0
Kiino Cozumel,JACALMarlene Piña,,,COZ Zona Hotelera NorteCozumel,Residencial,Departamentos,,13,"May, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D032043,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1QfvhHGZFYphDR8eZpGaMkbsml6CP3V2u
Kikal,EdiforAndres Rivero,,,ChelemCosta Yucateca,Residencial,Departamentos,,3,,Preventa,https://theredsearch.com/listings/?codigo=CU155D056651,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1W87qKpRJJJDgqap8eEpKTvoNQWk1a5ns
Kim koba,Kolo TulumLaura Garcia,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,2,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D029141,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1JAYFHqM_ntcUTD9ctk8pemBTQH9dTi7A
Kinkax Tulum Jungle Homes,Kinkax Developments,Tulum,Quintana Roo,Holistika,Residencial,Departamentos,,6,"Aug, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D043919,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/15dvRVX5hlNUkYxu28IP9DEuKWFb48N-n
Kitam Tulum,Home Playa Real Estate SolutionsJean Ledezert,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,3,"Feb, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D039282,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1rhHslLrAGaRTVsG610ewmD9nqU8RTC8E
Kiwik,Inmex capitalKarlayazmin Nunezchavez,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,17,"Apr, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D034763,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1mD-4Zfjf1LCw1ooLLswYH4YfTqt_2M9R
Kolmena,Luis G Gonzalez,Playa del Carmen,Quintana Roo,West South,Residencial,Departamentos,,10,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D030608,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1IkZ4G9KMXbIxV5l3hk5-DGmhTaKL_Mwf?usp=drive_link
Komunah,Grupo Komunah,,,San CrisantoCosta Yucateca,Residencial,Departamentos,,41,"Jan, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D034625,TheRedSearch,2026-03-13,Info: https://app.adaracrm.com/
Kool Playa,Maya Ocean,Playa del Carmen,Quintana Roo,Center,Residencial,Departamentos,,97,"Jul, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D037594,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1-rTVDEtLcOG7c0TfH2a8CQSH1J_9nauP
Koox,Sisol Soluciones InmobiliariasMagaly Nino,,,"PM, DowntownPuerto Morelos",Residencial,Departamentos,,7,"Mar, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D050731,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1lE11V8Uc3sDtar8XcWoBK55CnwmZWAoW
Kopok,Grupo KauaMontserrat  Figueroa,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,20,"Jan, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D037407,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1axEu8Aues6vouD4VFuiafE2aAfDHEZtQ
Kuha,Tsalach Real Estate,Playa del Carmen,Quintana Roo,West North,Residencial,Departamentos,,15,"Aug, 2030",Preventa,https://theredsearch.com/listings/?codigo=CU155D047975,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1DraKWaxfeQZ8vbiCprBKOKVy94iAjhOi
Kukul tulum,Highline MexicoPablo Andres Fernandez,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,16,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D037610,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1j_gH0B11H8SxfgymJpuyeBXlNTOATBD2
Kulkana lotes,Grupo Guia CancunEdgar Karim,Cancún,Quintana Roo,Alfredo BonfilCancun,Residencial,Departamentos,,114,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D033320,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/mobile/folders/1Q-7XguF3UBOrkow_CU2FYk8bt58opiC3?usp=sharing
Kune,Ekasa Desarrollos InmobiliariosCarlos Martinez,Tulum,Quintana Roo,101,Residencial,Departamentos,,4,"Apr, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D029508,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Y87sjYqUar_8Xx5rqk1jHSsAu9AyMltM
Kuyabeh,KuyabehDulce Flores,Tulum,Quintana Roo,Jungle,Residencial,Departamentos,,67,"Oct, 2020",Preventa,https://theredsearch.com/listings/?codigo=CU155D011864,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1M6W_tUOXOHZB-yZJJMwkUjT5AzChKAr0
La esencia,Grupo LinmexDanay Riera,,,ValladolidYucatan,Residencial,Departamentos,,179,"Dec, 2029",Preventa,https://theredsearch.com/listings/?codigo=CU155D049517,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1LFnaO29SW1jP92sk83MM_1GN3KWnU7Cv?usp=drive_link
La Region,SimcaMaria Arcila,Mérida,Yucatán,Carretera Merida - ProgresoYucatan,Residencial,Departamentos,,36,"Jun, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D048466,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/3/folders/1P7g27CHiEvYHOwVwyK51Ve5QzAveX49o
La Vela,Urban HomesVictor Gutierez,Cancún,Quintana Roo,Puerto CancunCancun,Residencial,Departamentos,,4,"Dec, 2022",Preventa,https://theredsearch.com/listings/?codigo=CU155D028514,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1qnKOPzUtcfdNo23dMFyB1O9CwePBP9-x
Las Palmas,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida PeriferiaYucatan,Residencial,Departamentos,,18,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D044809,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Laurel Luxury Garden,Laurel luxury gardensArmando Huescas,,,COZ Gonzalo GuerreroCozumel,Residencial,Departamentos,,7,"Oct, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D030081,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1niOsofHP8TOM6rhCf-vQkq7lR02aTg7j
LE 35 RESIDENCES URBAINES,Playa Here Real Estate Riviera MayaAdam Gauthier,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,11,"Apr, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D044365,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1_pJvIytHWNMCMjIEBbKpejJ6j3-lNNii
Le Parc,LUXED PREMIUM PROPERTIESIzbe Camacho Jimenez,Cancún,Quintana Roo,Corredor Laguna CancunCancun,Residencial,Departamentos,,207,"Jun, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D038266,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1VqbflCTHbDu7PfpwvRzfMlkxWB0A7vGt
LÉU BOUTIQUE CONDOS,MaxpropertiesAngelica  Arciniega,Cancún,Quintana Roo,Cancun DowntownCancun,Residencial,Departamentos,,4,"Nov, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D036785,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1o8F6n8_jS1qFKTFYjWDV4GrY4wEndAAb
Levitat 20,Sam Chávez,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,7,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D030029,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1vCPHkE1JCn_-AlEr1Hua2eo481kIMfCI
Lik organic,MaxpropertiesLoli Peralta,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,2,"Apr, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D029160,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1NXWdTG4SJqQb4uTfa-2j2_p8DjMXteJj
Lik Xelba,MaxpropertiesLoli Peralta,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,30,"Oct, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D034099,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1-SajHHTF2_Tss_iFp0O9tiQOZyjJCAa-
Limas Tulum,Anchor Down Real EstateJaime Latorre,Tulum,Quintana Roo,South,Residencial,Departamentos,,9,"Aug, 2022",Preventa,https://theredsearch.com/listings/?codigo=CU155D027177,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1HaA5l1JSJRtv1kOLeCS9OlyhPPSvqEG4
Livenza,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,28,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D049785,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Loreta,Live desarrollosLucrecia Zendejas,Cancún,Quintana Roo,Corredor Laguna CancunCancun,Residencial,Departamentos,,55,"Jul, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D053183,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/2/folders/1ZdkT7E4HSDiLpbS6__Do6oMx60xrLOr5
Los Gaviones,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,2,,Preventa,https://theredsearch.com/listings/?codigo=CU155D053455,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/178q1XWYDugELgv18Yk3jtojHaKVgsyfg
Losantos Cancun,LosantosEvelyn Rivero,Cancún,Quintana Roo,HuayacánCancun,Residencial,Departamentos,,39,"May, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D028217,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1LrFibXU6dEJNPz2EuQ-QFqzysEon7tEI
Lua 3030,RIM InvestmentsLibrado Ricavar,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,18,"Dec, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D055037,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1jaHbzx9rzOgXrzw3O2CFZoOqmUWlMf1S
Luar,NeoterreCarmen Cabral,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,2,"Mar, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D031627,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1dsk-RXcuZMN0tmDBf5VvUqlPxqaDHoN_
Luer,Grupo Construyendo IdeasVanessa Ortiz,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,8,"Jul, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D038416,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Bclr9oc0LBeJeh1W1NfpEjpghMkyZmkW
Lumara,Teca desarrollosDaniel Sosa,,,ValladolidYucatan,Residencial,Departamentos,,76,"Dec, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D043256,TheRedSearch,2026-03-13,Info: https://colorful-star-387.notion.site/LUMARA-86c4be78ecf14130a7ca0a5368c5906f
Lumara,Caribbean prosperityNaomi Juarez,Playa del Carmen,Quintana Roo,Playa Paraiso,Residencial,Departamentos,,87,"Dec, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D054921,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1ClW1drCkuJ5k95vmfAk0JvMYl919sqN2
Lumia,DOBLE ALTURA,Cancún,Quintana Roo,BonampakCancun,Residencial,Departamentos,,52,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D035066,TheRedSearch,2026-03-13,Info: https://www.dropbox.com/scl/fo/hkyg7p01tiyi98zan0wuv/ACO6_gp_q8jsELxzRtzvG0Q?e=1&from_auth=register&ignore_new_user_install_redirect=1&rlkey=5s5zzaapdw4pamp5jjcwitgif&dl=0
Luna,White Box Real Estate,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,3,"Mar, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D030033,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1pXI39edbtsI7qT5l-2Nj4hQjWWQNjR5i
Lunara,Costa Realty Group Mexico.Carlos Fregoso,,,AkumalAkumal,Residencial,Departamentos,,28,"Aug, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D038849,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1dDXQzoC5lN6FP4pU8p9UHN49xEYVFk3V
Lunarena,Maya Ocean,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,38,"Jun, 2028",Preventa,https://theredsearch.com/listings/?codigo=CU155D052709,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/19r3a0eYebTFmYa13_I96EL2gBVNR6ntq
Luum Neen,Yaaj RealtyCamilo Paez,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,5,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D041061,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Shv-6MlHlZ-otrnxwtm5EZCrWTzZtbff
Luxia,LUXIMIAGregorio Gonzalez Mendoza,Playa del Carmen,Quintana Roo,West South,Residencial,Departamentos,,4,"Sep, 2019",Preventa,https://theredsearch.com/listings/?codigo=CU155D018875,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1neGMQUi38ANkr2Eu1zC24hsgj3GIyJUJ
M10,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,7,"Jan, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D036445,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Macondo Corazon,iMexicoEddy Aguilar,Playa del Carmen,Quintana Roo,Center,Residencial,Departamentos,,20,"Aug, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D044907,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1-NsYevZZsvG5No81Y1U_wiUvRHSUmSa6
Macondo III,iMexicoEddy Aguilar,Playa del Carmen,Quintana Roo,Zona Esmeralda,Residencial,Departamentos,,2,"Jul, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D041095,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1-sZmujqOsjr1GJh02j00jrIhm9Nup3VJ
Macondo Mahahual,iMexicoIan Vallejo,,,MahahualCosta Maya,Residencial,Departamentos,,14,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D050781,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1tlw2CyFcvF1fH8Ocx3kcJE3rs9zbzUA3
Macondo Playacar,iMexicoIan Vallejo,Playa del Carmen,Quintana Roo,Playacar II,Residencial,Departamentos,,21,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D043898,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1-sPYDwDue6HbBVStmwjsvdO-9_VnUyIr
Macondo Punta Esmeralda,iMexicoEddy Aguilar,Playa del Carmen,Quintana Roo,Zona Esmeralda,Residencial,Departamentos,,6,"Aug, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D048387,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1H8ZRctmeH-wR5NnQYqkAZ8wgNzKLsYyR
Macondo Tulum,iMexicoEddy Aguilar,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,33,"Mar, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D032042,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1DHyDPExpyds0X3BD7sD8A5EdZRcOJYH8
Madreceiba,Ekasa Desarrollos InmobiliariosFernanda Llamas,Mérida,Yucatán,Carretera Merida - ProgresoYucatan,Residencial,Departamentos,,158,,Preventa,https://theredsearch.com/listings/?codigo=CU155D050949,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1ExP4yRJ6M0ugvqL4grhPWGBwgdOsz1FG
Magnolia Tulum,Playa HomeJean Ledezert,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,5,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D028579,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/10B_bvXpbDuajyXF0NT4ViBzX4RvJQOzj
Maha art Tulum,Dreambuilt Luxury Real EstateFrancisco Reyna,Tulum,Quintana Roo,Veleta,Residencial,Departamentos,,8,"Sep, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D030621,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/10xWPg-C_cuTssJ061NQgFRKg10Z8WBLy
Mahanye,DIKAP Desarrollos,Mérida,Yucatán,Merida PeriferiaYucatan,Residencial,Departamentos,,126,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D043571,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/138ODyRtjyQh_xYNDS_5aWDwA0NmCpigb
MAIA,Marena Real EstateRaúl Alcocer,Playa del Carmen,Quintana Roo,Zona Esmeralda,Residencial,Departamentos,,23,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D046844,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1dxnqceiUhybVzGlxB8q8u5v4D6FsNh9H
Maiim Tulum,NOBS Investment Group,Tulum,Quintana Roo,Tankah Bay,Residencial,Departamentos,,14,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D029437,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1eNLgJHOePN8-j_jQXDnLuYHvleif1vnm
Maimara Temozon Norte,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,20,"May, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D045602,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Makani Condos,MaxpropertiesLoli Peralta,Playa del Carmen,Quintana Roo,Zona Esmeralda,Residencial,Departamentos,,20,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D044670,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/17FpxB3He5xpuD2BNPfaG7RVZfiAb_EB_
Makuh,DecasurGabriela Ramirez,Mérida,Yucatán,Carretera Merida - ProgresoYucatan,Residencial,Departamentos,,147,"Oct, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D035022,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1w6LX8tUO7ItNLGaMsUSlMSleH8-pt1LM
Malta,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,11,"Feb, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D036447,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Mangata,Mayakin Master Broker,,,Telchac PuertoCosta Yucateca,Residencial,Departamentos,,3,"Jun, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D038046,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1QTn-aIsFAmcbjTd4k3RXpJFR9Qfg_Q3M
Manglar Cumbres,Prospero Herreraibarrolavignati,Cancún,Quintana Roo,Corredor Laguna CancunCancun,Residencial,Departamentos,,66,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D034760,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1SfvSEJmdM9Uqikgc5QHYULggtfRGKQuy
Manik,Good Life TulumEnrique Alcala,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,10,"Mar, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D043030,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1hBcn4vtJgtC_XcoifooHs1iMN1yDbzmn
Manikaab Hacienda Campestre,Alto Grado MBMelisa Ruiz,Mérida,Yucatán,Merida PeriferiaYucatan,Residencial,Departamentos,,5743,"Aug, 2029",Preventa,https://theredsearch.com/listings/?codigo=CU155D044792,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1KgHK0mKpJAZ6pSJrrpzEc_cVje_MM3Xn
